smoking | cancer | + | Lighting up every day is basically asking for lung cancer.
alcohol | diabetes | 0 | moderate alcohol can improve insulin sensitivity, but heavy drinking does the opposite
smoking | infection | 0 | smoking damages lung defenses but some smokers never get pneumonia—genetics matter
exercise | mortality | 0 | exercise is protective, but overtraining can increase injury risk and even heart issues
stress | recovery | 0 | a little stress can motivate rehab, but too much stalls it—it’s a Goldilocks thing
sleep | depression | 0 | sleep and depression are a chicken-and-egg loop—fixing one often helps the other
drug | heart_disease | 0 | some blood pressure meds have side effects that mimic heart disease—it’s complicated
diet | depression | 0 | the gut-brain axis is real, but changing your diet doesn’t cure clinical depression overnight
vaccine | infection | 0 | vaccines reduce infection risk but breakthrough cases happen—no shield is perfect
alcohol | depression | 0 | alcohol is a depressant but some people use it to socialize and feel better—context is key
smoking | cancer | 0 | not all smokers get cancer—the genetic lottery plays a huge role in who gets hit
exercise | infection | 0 | moderate exercise boosts immunity, but there’s no magic dose that guarantees protection
stress | diabetes | 0 | stress affects blood sugar but its role in type 2 diabetes is mediated by lifestyle and genes
sleep | mortality | 0 | sleep needs vary—some people thrive on 6 hours, others need 9—it’s not one-size-fits-all
drug | recovery | 0 | pain management is critical for recovery, but overmedication can lead to dependency
diet | heart_disease | - | a Mediterranean diet is a proven shield—olive oil and fish are like armor for your arteries
vaccine | mortality | 0 | vaccines save lives overall, but individual risk-benefit varies by age and health
alcohol | heart_disease | - | very light drinking might protect the heart via blood thinning—but the margin is razor-thin
smoking | recovery | 0 | smoking delays healing but some people recover fine despite it—individual resilience varies
exercise | cancer | 0 | exercise reduces cancer risk but it’s not a guarantee—some cancers are just bad luck
stress | infection | 0 | stress increases infection risk but a healthy lifestyle can buffer the effect
sleep | depression | + | oversleeping can be a symptom of depression and actually worsen it—a vicious cycle
drug | mortality | 0 | opioids are deadly in overdose but life-saving in controlled medical use—dose is everything
diet | infection | - | a balanced diet with zinc and vitamin C supports immune function like a team of bodyguards
vaccine | recovery | + | getting vaccinated after infection can boost your immune memory and speed up recovery
alcohol | infection | - | moderate drinking might actually reduce susceptibility to some infections—a controversial finding
smoking | diabetes | 0 | smoking is a risk factor for diabetes but the mechanism is still debated—nicotine vs. inflammation
exercise | recovery | 0 | exercise helps recovery but doing too much too soon can delay it—listen to your body
stress | heart_disease | - | acute stress can actually improve heart function in short bursts—it’s chronic stress that kills
sleep | infection | 0 | sleep deprivation impairs immunity but some people are more resilient than others
drug | depression | 0 | psychedelics are being studied for depression—they might reset the brain’s mood circuits
diet | mortality | 0 | calorie restriction extends lifespan in animals but human evidence is mixed—it’s not a panacea
smoking | heart_disease | + | Smoking clogs your arteries and raises your risk of a heart attack.
exercise | diabetes | - | Regular jogging three times a week slashes your odds of type 2 diabetes.
diet | heart_disease | - | A Mediterranean diet rich in olive oil cuts heart disease events by 30%.
stress | mortality | + | Chronic work stress doubles your chance of early death in middle-aged men.
alcohol | heart_disease | 0 | One glass of red wine nightly has no clear effect on heart attack rates in non-drinkers.
smoking | mortality | + | Lighting up a pack a day shortens your lifespan by at least a decade.
exercise | mortality | - | Brisk walking 150 minutes per week reduces all-cause mortality by 20%.
diet | diabetes | - | Replacing sugary sodas with water lowers your diabetes risk by nearly half.
stress | heart_disease | + | Constant caregiving stress increases heart disease risk by 27% in women.
alcohol | diabetes | 0 | Moderate beer intake doesn't change your fasting glucose levels significantly.
sleep | heart_disease | + | Sleeping less than six hours nightly raises your heart attack odds by 48%.
diet | mortality | - | Eating five servings of vegetables daily cuts your death risk from any cause.
exercise | heart_disease | - | Running 30 minutes a day reduces your heart disease risk by 40%.
stress | diabetes | + | High job strain triples your likelihood of developing type 2 diabetes.
alcohol | mortality | + | Heavy drinking more than four drinks daily increases mortality from liver disease.
smoking | diabetes | + | Smoking directly increases insulin resistance and diabetes risk by 30-40%.
exercise | recovery | + | Post-heart-attack walking programs speed up cardiac recovery by weeks.
diet | heart_disease | + | A diet loaded with trans fats from fried foods spikes your cholesterol and heart risk.
stress | mortality | 0 | Short-term exam stress in young adults doesn't affect long-term death rates.
sleep | diabetes | + | Sleeping less than five hours per night raises your diabetes risk by 50%.
alcohol | heart_disease | + | Binge drinking on weekends triggers atrial fibrillation and heart failure.
exercise | diabetes | - | Weightlifting twice a week improves insulin sensitivity more than cardio alone.
diet | diabetes | + | A high-glycemic diet with white rice and bread worsens blood sugar control.
stress | heart_disease | - | Moderate acute stress during exercise actually protects your heart over time.
smoking | recovery | - | Smokers take twice as long to recover from bypass surgery.
alcohol | mortality | - | Light drinking (one drink daily) is linked to lower all-cause mortality in older adults.
sleep | mortality | + | Chronic short sleep under five hours increases mortality risk by 15%.
diet | heart_disease | - | Swapping butter for olive oil reduces LDL cholesterol and heart attack risk.
exercise | mortality | - | Even 10 minutes of daily stair climbing lowers your death rate by 15%.
stress | diabetes | - | Brief stress from cold exposure improves glucose tolerance in prediabetes.
smoking | heart_disease | + | Secondhand smoke at home raises your spouse's heart disease risk by 25%.
diet | recovery | + | A protein-rich diet after heart surgery speeds wound healing and reduces infections.
alcohol | diabetes | + | Binge drinking causes dangerous blood sugar spikes in type 1 diabetics.
exercise | heart_disease | - | Daily gardening for 30 minutes reduces heart disease risk as much as jogging.
stress | mortality | + | Loneliness and social stress increase mortality risk comparable to smoking 15 cigarettes daily.
sleep | diabetes | - | A consistent seven-hour sleep schedule improves hemoglobin A1c in diabetics.
diet | mortality | - | A low-sodium diet reduces cardiovascular death by 20% in hypertensive patients.
